"Id";"Edad";"Producto";"Diseno";"Puntaje"
1;"Nino";"Queque";"PackPro";6
1;"Nino";"Queque";"KoolDesign";2
1;"Nino";"Queque";"LaKajita";2
1;"Nino";"Queque";"DisenoColor";1
2;"Adulto";"Alfajor";"PackPro";3
2;"Adulto";"Alfajor";"KoolDesign";5
2;"Adulto";"Alfajor";"LaKajita";7
2;"Adulto";"Alfajor";"DisenoColor";4
3;"Nino";"Galletas";"PackPro";6
3;"Nino";"Galletas";"KoolDesign";2
3;"Nino";"Galletas";"LaKajita";5
3;"Nino";"Galletas";"DisenoColor";2
4;"Adulto";"Galletas";"PackPro";3
4;"Adulto";"Galletas";"KoolDesign";5
4;"Adulto";"Galletas";"LaKajita";4
4;"Adulto";"Galletas";"DisenoColor";6
5;"Adulto";"Cuchufli";"PackPro";2
5;"Adulto";"Cuchufli";"KoolDesign";6
5;"Adulto";"Cuchufli";"LaKajita";6
5;"Adulto";"Cuchufli";"DisenoColor";5
6;"Joven";"Cuchufli";"PackPro";4
6;"Joven";"Cuchufli";"KoolDesign";4
6;"Joven";"Cuchufli";"LaKajita";3
6;"Joven";"Cuchufli";"DisenoColor";5
7;"Nino";"Caramelos";"PackPro";6
7;"Nino";"Caramelos";"KoolDesign";2
7;"Nino";"Caramelos";"LaKajita";2
7;"Nino";"Caramelos";"DisenoColor";5
8;"Nino";"Cuchufli";"PackPro";6
8;"Nino";"Cuchufli";"KoolDesign";2
8;"Nino";"Cuchufli";"LaKajita";6
8;"Nino";"Cuchufli";"DisenoColor";4
9;"Adulto";"Chocolate";"PackPro";3
9;"Adulto";"Chocolate";"KoolDesign";5
9;"Adulto";"Chocolate";"LaKajita";6
9;"Adulto";"Chocolate";"DisenoColor";5
10;"Adulto";"Caramelos";"PackPro";3
10;"Adulto";"Caramelos";"KoolDesign";5
10;"Adulto";"Caramelos";"LaKajita";3
10;"Adulto";"Caramelos";"DisenoColor";7
11;"Nino";"Galletas";"PackPro";5
11;"Nino";"Galletas";"KoolDesign";3
11;"Nino";"Galletas";"LaKajita";2
11;"Nino";"Galletas";"DisenoColor";1
12;"Adulto";"Caramelos";"PackPro";1
12;"Adulto";"Caramelos";"KoolDesign";7
12;"Adulto";"Caramelos";"LaKajita";4
12;"Adulto";"Caramelos";"DisenoColor";4
13;"Joven";"Chocolate";"PackPro";3
13;"Joven";"Chocolate";"KoolDesign";5
13;"Joven";"Chocolate";"LaKajita";7
13;"Joven";"Chocolate";"DisenoColor";4
14;"Nino";"Alfajor";"PackPro";6
14;"Nino";"Alfajor";"KoolDesign";2
14;"Nino";"Alfajor";"LaKajita";4
14;"Nino";"Alfajor";"DisenoColor";7
15;"Adulto";"Alfajor";"PackPro";2
15;"Adulto";"Alfajor";"KoolDesign";6
15;"Adulto";"Alfajor";"LaKajita";4
15;"Adulto";"Alfajor";"DisenoColor";4
16;"Nino";"Queque";"PackPro";6
16;"Nino";"Queque";"KoolDesign";2
16;"Nino";"Queque";"LaKajita";7
16;"Nino";"Queque";"DisenoColor";4
17;"Adulto";"Queque";"PackPro";2
17;"Adulto";"Queque";"KoolDesign";6
17;"Adulto";"Queque";"LaKajita";3
17;"Adulto";"Queque";"DisenoColor";4
18;"Adulto";"Chocolate";"PackPro";2
18;"Adulto";"Chocolate";"KoolDesign";6
18;"Adulto";"Chocolate";"LaKajita";2
18;"Adulto";"Chocolate";"DisenoColor";3
19;"Nino";"Alfajor";"PackPro";6
19;"Nino";"Alfajor";"KoolDesign";2
19;"Nino";"Alfajor";"LaKajita";7
19;"Nino";"Alfajor";"DisenoColor";7
20;"Joven";"Queque";"PackPro";3
20;"Joven";"Queque";"KoolDesign";5
20;"Joven";"Queque";"LaKajita";4
20;"Joven";"Queque";"DisenoColor";6
21;"Joven";"Chocolate";"PackPro";4
21;"Joven";"Chocolate";"KoolDesign";4
21;"Joven";"Chocolate";"LaKajita";6
21;"Joven";"Chocolate";"DisenoColor";2
22;"Nino";"Alfajor";"PackPro";5
22;"Nino";"Alfajor";"KoolDesign";3
22;"Nino";"Alfajor";"LaKajita";6
22;"Nino";"Alfajor";"DisenoColor";6
23;"Nino";"Alfajor";"PackPro";7
23;"Nino";"Alfajor";"KoolDesign";1
23;"Nino";"Alfajor";"LaKajita";4
23;"Nino";"Alfajor";"DisenoColor";4
24;"Joven";"Alfajor";"PackPro";4
24;"Joven";"Alfajor";"KoolDesign";3
24;"Joven";"Alfajor";"LaKajita";4
24;"Joven";"Alfajor";"DisenoColor";1
25;"Joven";"Cuchufli";"PackPro";4
25;"Joven";"Cuchufli";"KoolDesign";4
25;"Joven";"Cuchufli";"LaKajita";3
25;"Joven";"Cuchufli";"DisenoColor";6
26;"Adulto";"Queque";"PackPro";1
26;"Adulto";"Queque";"KoolDesign";7
26;"Adulto";"Queque";"LaKajita";5
26;"Adulto";"Queque";"DisenoColor";1
27;"Adulto";"Galletas";"PackPro";3
27;"Adulto";"Galletas";"KoolDesign";5
27;"Adulto";"Galletas";"LaKajita";4
27;"Adulto";"Galletas";"DisenoColor";6
28;"Joven";"Alfajor";"PackPro";3
28;"Joven";"Alfajor";"KoolDesign";5
28;"Joven";"Alfajor";"LaKajita";2
28;"Joven";"Alfajor";"DisenoColor";7
29;"Joven";"Chocolate";"PackPro";3
29;"Joven";"Chocolate";"KoolDesign";5
29;"Joven";"Chocolate";"LaKajita";6
29;"Joven";"Chocolate";"DisenoColor";2
30;"Adulto";"Alfajor";"PackPro";2
30;"Adulto";"Alfajor";"KoolDesign";6
30;"Adulto";"Alfajor";"LaKajita";3
30;"Adulto";"Alfajor";"DisenoColor";4
31;"Joven";"Queque";"PackPro";3
31;"Joven";"Queque";"KoolDesign";5
31;"Joven";"Queque";"LaKajita";6
31;"Joven";"Queque";"DisenoColor";2
32;"Adulto";"Alfajor";"PackPro";2
32;"Adulto";"Alfajor";"KoolDesign";6
32;"Adulto";"Alfajor";"LaKajita";3
32;"Adulto";"Alfajor";"DisenoColor";5
33;"Nino";"Queque";"PackPro";6
33;"Nino";"Queque";"KoolDesign";2
33;"Nino";"Queque";"LaKajita";1
33;"Nino";"Queque";"DisenoColor";4
34;"Adulto";"Caramelos";"PackPro";1
34;"Adulto";"Caramelos";"KoolDesign";7
34;"Adulto";"Caramelos";"LaKajita";3
34;"Adulto";"Caramelos";"DisenoColor";2
35;"Adulto";"Chocolate";"PackPro";2
35;"Adulto";"Chocolate";"KoolDesign";6
35;"Adulto";"Chocolate";"LaKajita";6
35;"Adulto";"Chocolate";"DisenoColor";4
36;"Adulto";"Caramelos";"PackPro";2
36;"Adulto";"Caramelos";"KoolDesign";6
36;"Adulto";"Caramelos";"LaKajita";3
36;"Adulto";"Caramelos";"DisenoColor";7
37;"Joven";"Queque";"PackPro";3
37;"Joven";"Queque";"KoolDesign";5
37;"Joven";"Queque";"LaKajita";2
37;"Joven";"Queque";"DisenoColor";5
38;"Nino";"Alfajor";"PackPro";6
38;"Nino";"Alfajor";"KoolDesign";2
38;"Nino";"Alfajor";"LaKajita";3
38;"Nino";"Alfajor";"DisenoColor";6
39;"Joven";"Chocolate";"PackPro";4
39;"Joven";"Chocolate";"KoolDesign";4
39;"Joven";"Chocolate";"LaKajita";2
39;"Joven";"Chocolate";"DisenoColor";5
40;"Joven";"Galletas";"PackPro";4
40;"Joven";"Galletas";"KoolDesign";4
40;"Joven";"Galletas";"LaKajita";5
40;"Joven";"Galletas";"DisenoColor";6
41;"Nino";"Alfajor";"PackPro";5
41;"Nino";"Alfajor";"KoolDesign";3
41;"Nino";"Alfajor";"LaKajita";4
41;"Nino";"Alfajor";"DisenoColor";4
42;"Adulto";"Galletas";"PackPro";3
42;"Adulto";"Galletas";"KoolDesign";5
42;"Adulto";"Galletas";"LaKajita";4
42;"Adulto";"Galletas";"DisenoColor";2
43;"Adulto";"Galletas";"PackPro";2
43;"Adulto";"Galletas";"KoolDesign";6
43;"Adulto";"Galletas";"LaKajita";1
43;"Adulto";"Galletas";"DisenoColor";3
44;"Nino";"Chocolate";"PackPro";6
44;"Nino";"Chocolate";"KoolDesign";2
44;"Nino";"Chocolate";"LaKajita";2
44;"Nino";"Chocolate";"DisenoColor";6
45;"Adulto";"Caramelos";"PackPro";2
45;"Adulto";"Caramelos";"KoolDesign";6
45;"Adulto";"Caramelos";"LaKajita";5
45;"Adulto";"Caramelos";"DisenoColor";4
46;"Nino";"Alfajor";"PackPro";6
46;"Nino";"Alfajor";"KoolDesign";2
46;"Nino";"Alfajor";"LaKajita";5
46;"Nino";"Alfajor";"DisenoColor";3
